player_name,player_id,year,xwoba,xba,xslg,xiso,xobp,brl,brl_percent,exit_velocity,hard_hit_percent,whiff_percent,sprint_speed,k_percent,bb_percent
Nick Gordon,624503,2023,,,,,,,,,,,50,,
Rafael Ortega,542364,2023,,,,,,,,,,,46,,
Luis Guillorme,641645,2023,,,,,,,,,,,11,,
Brett Wisely,689172,2023,,,,,,,,,,,65,,
Nick Gonzales,693304,2023,,,,,,,,,,,86,,
Tyler Soderstrom,691016,2023,,,,,,,,,,,13,,
Alex Kirilloff,666135,2023,,,,,,,,,,,48,,
Emmanuel Rivera,656896,2023,,,,,,,,,,,42,,
Corey Julks,667452,2023,,,,,,,,,,,77,,
Yuli Gurriel,493329,2023,,,,,,,,,,,45,,
Christopher Morel,666624,2023,71,36,85,89,32,77,95,91,92,2,81,10,49
Nick Allen,669397,2023,,,,,,,,,,,65,,
Manuel Margot,622534,2023,,,,,,,,,,,75,,
Ramón Urías,602104,2023,8,14,7,11,12,22,35,49,32,28,34,29,30
Isiah Kiner-Falefa,643396,2023,15,48,9,5,36,3,6,39,40,81,59,66,41
Nolan Gorman,669357,2023,80,24,87,94,56,81,97,77,86,5,30,6,83
Brandon Lowe,664040,2023,69,22,68,81,61,48,69,83,83,14,51,22,84
Cole Tucker,657061,2023,,,,,,,,,,,75,,
Cal Stevenson,670276,2023,,,,,,,,,,,23,,
Abraham Almonte,501659,2023,,,,,,,,,,,29,,
Robbie Grossman,543257,2023,25,12,10,17,58,22,34,28,27,77,62,38,92
Miguel Cabrera,408234,2023,18,36,16,12,32,7,11,44,29,46,1,61,49
Kevin Padlo,656821,2023,,,,,,,,,,,1,,
Jacob Amaya,676070,2023,,,,,,,,,,,25,,
Willi Castro,650489,2023,21,21,16,20,41,22,34,9,12,35,82,34,47
Anthony Bemboom,621532,2023,,,,,,,,,,,14,,
Manny Piña,444489,2023,,,,,,,,,,,2,,
Pete Crow-Armstrong,691718,2023,,,,,,,,,,,98,,
Forrest Wall,657088,2023,,,,,,,,,,,72,,
Alexander Canario,672744,2023,,,,,,,,,,,14,,
Brandon Marsh,669016,2023,45,21,27,39,67,37,56,81,87,39,82,11,88
Mike Moustakas,519058,2023,2,7,11,23,2,15,23,42,31,39,9,32,18
Harrison Bader,664056,2023,13,24,23,28,6,11,20,4,11,52,85,81,6
Freddie Freeman,518692,2023,98,99,98,90,98,92,72,63,58,75,34,83,68
Jake Fraley,641584,2023,54,61,35,27,77,19,30,1,9,57,69,71,65
Riley Greene,682985,2023,89,92,88,76,80,54,74,85,82,32,71,21,49
Ryan Kreidler,668952,2023,,,,,,,,,,,62,,
Weston Wilson,642215,2023,,,,,,,,,,,45,,
Luke Williams,663897,2023,,,,,,,,,,,76,,
Ryan O'Hearn,656811,2023,49,66,76,71,16,45,64,89,94,62,60,47,2
Abraham Toro,647351,2023,,,,,,,,,,,38,,
Ben Gamel,592325,2023,,,,,,,,,,,54,,
Brian Serven,661531,2023,,,,,,,,,,,9,,
Chris Owings,572008,2023,,,,,,,,,,,36,,
Cooper Hummel,669450,2023,,,,,,,,,,,48,,
Vinny Capra,681962,2023,,,,,,,,,,,58,,
Juniel Querecuto,578570,2023,,,,,,,,,,,36,,
Greg Allen,656185,2023,,,,,,,,,,,40,,
Johan Camargo,622666,2023,,,,,,,,,,,3,,
Jeff McNeil,643446,2023,14,42,9,4,35,2,2,5,5,98,51,99,18
Isan Díaz,656371,2023,,,,,,,,,,,1,,
Peyton Burdick,680814,2023,,,,,,,,,,,62,,
Josh Lester,623507,2023,,,,,,,,,,,16,,
Yonny Hernández,660634,2023,,,,,,,,,,,12,,
Drew Ellis,656403,2023,,,,,,,,,,,46,,
Tommy La Stella,600303,2023,,,,,,,,,,,3,,
Joc Pederson,592626,2023,90,66,82,81,92,62,79,91,96,52,27,59,91
Dalton Guthrie,656495,2023,,,,,,,,,,,82,,
Kyle Garlick,664247,2023,,,,,,,,,,,22,,
Canaan Smith-Njigba,675986,2023,,,,,,,,,,,15,,
Alec Burleson,676475,2023,65,85,68,52,58,17,26,60,51,91,12,95,26
Sean Murphy,669221,2023,96,82,95,95,96,82,96,84,75,45,18,46,82
Gabriel Moreno,672515,2023,33,69,26,14,52,9,16,59,56,81,46,64,39
Francisco Alvarez,682626,2023,22,2,47,80,5,66,84,65,72,15,26,25,42
Jason Heyward,518792,2023,38,42,38,39,49,30,47,20,28,74,43,82,57
Bobby Witt Jr.,677951,2023,91,95,95,88,68,96,76,74,73,64,100,79,16
Nathan Lukes,664770,2023,,,,,,,,,,,42,,
José Tena,677588,2023,,,,,,,,,,,36,,
Buddy Kennedy,671083,2023,,,,,,,,,,,95,,
Austin Meadows,640457,2023,,,,,,,,,,,18,,
Kyle Stowers,669065,2023,,,,,,,,,,,15,,
Bligh Madris,676632,2023,,,,,,,,,,,21,,
Luis Torrens,620443,2023,,,,,,,,,,,26,,
Jordan Lawlar,691783,2023,,,,,,,,,,,99,,
Heston Kjerstad,677008,2023,,,,,,,,,,,64,,
Brendan Donovan,680977,2023,80,91,63,35,89,17,25,50,49,96,42,91,56
Logan Porter,682515,2023,,,,,,,,,,,39,,
Bobby Dalbec,666915,2023,,,,,,,,,,,69,,
Anthony Rizzo,519203,2023,38,35,29,32,56,25,35,63,28,48,4,42,47
Sandy León,506702,2023,,,,,,,,,,,1,,
Marco Luciano,682617,2023,,,,,,,,,,,43,,
Tyler Fitzgerald,666149,2023,,,,,,,,,,,99,,
Jace Peterson,607054,2023,10,7,5,12,27,9,14,3,6,52,66,37,80
Jasson Domínguez,691176,2023,,,,,,,,,,,76,,
David Hamilton,666152,2023,,,,,,,,,,,92,,
Yasmani Grandal,518735,2023,9,10,5,10,16,9,14,22,18,50,1,56,56
TJ Hopkins,686759,2023,,,,,,,,,,,89,,
Jordyn Adams,677941,2023,,,,,,,,,,,92,,
Taylor Trammell,666211,2023,,,,,,,,,,,44,,
Drew Millas,686452,2023,,,,,,,,,,,80,,
Eguy Rosario,666703,2023,,,,,,,,,,,74,,
Kyren Paris,677347,2023,,,,,,,,,,,93,,
Cody Thomas,642137,2023,,,,,,,,,,,74,,
Sean Bouchard,656248,2023,,,,,,,,,,,48,,
Blake Rutherford,666164,2023,,,,,,,,,,,45,,
Travis Blankenhorn,663905,2023,,,,,,,,,,,11,,
Oneil Cruz,665833,2023,,,,,,,,,,,84,,
Joey Ortiz,687401,2023,,,,,,,,,,,71,,
Jack Suwinski,669261,2023,74,8,75,91,67,82,94,72,64,22,81,5,94
Alex Bregman,608324,2023,77,69,54,44,89,50,21,36,33,98,24,96,89
Sam Huff,669087,2023,,,,,,,,,,,24,,
Coco Montes,663796,2023,,,,,,,,,,,56,,
J.P. Martínez,679881,2023,,,,,,,,,,,85,,
Junior Caminero,691406,2023,,,,,,,,,,,83,,
Iván Herrera,671056,2023,,,,,,,,,,,35,,
Taylor Ward,621493,2023,66,48,54,55,72,32,48,74,65,72,65,65,61
Óscar Mercado,640458,2023,,,,,,,,,,,72,,
Spencer Horwitz,687462,2023,,,,,,,,,,,8,,
Andre Lipcius,686531,2023,,,,,,,,,,,8,,
Brett Phillips,621433,2023,,,,,,,,,,,68,,
Grae Kessinger,666197,2023,,,,,,,,,,,32,,
Trey Cabbage,663550,2023,,,,,,,,,,,77,,
Adam Haseley,656514,2023,,,,,,,,,,,65,,
Andrew Stevenson,664057,2023,,,,,,,,,,,93,,
Bryce Johnson,669369,2023,,,,,,,,,,,86,,
Tyler Heineman,623168,2023,,,,,,,,,,,14,,
Jared Young,676724,2023,,,,,,,,,,,79,,
Kyle Lewis,641786,2023,,,,,,,,,,,15,,
Nico Hoerner,663538,2023,29,80,12,4,68,6,2,10,16,99,80,96,35
Wade Meckler,685133,2023,,,,,,,,,,,95,,
Yainer Diaz,673237,2023,84,92,96,93,35,66,79,69,65,37,56,65,1
Nate Eaton,681987,2023,,,,,,,,,,,97,,
Luis Arraez,650333,2023,80,100,72,18,90,25,9,29,3,100,21,100,15
José Ramírez,608070,2023,83,96,81,61,92,70,37,63,47,94,61,98,77
Jorge Alfaro,595751,2023,,,,,,,,,,,80,,
Darin Ruf,573131,2023,,,,,,,,,,,9,,
Jo Adell,666176,2023,,,,,,,,,,,90,,
Kevin Kiermaier,595281,2023,17,58,11,6,43,6,9,11,15,20,87,56,35
Chas McCormick,676801,2023,69,35,71,78,56,61,72,23,37,28,72,28,54
Andy Ibáñez,628451,2023,56,77,67,54,43,42,55,44,61,65,46,77,23
Ezequiel Duran,677649,2023,42,53,57,58,25,40,52,65,65,29,91,22,9
Jonny Deluca,676356,2023,,,,,,,,,,,97,,
Jose Altuve,514888,2023,56,32,44,53,64,37,49,5,10,84,37,80,78
Heliot Ramos,671218,2023,,,,,,,,,,,39,,
Derek Hill,656537,2023,,,,,,,,,,,97,,
Jake Lamb,571875,2023,,,,,,,,,,,6,,
Darick Hall,669742,2023,,,,,,,,,,,2,,
Tim Locastro,641796,2023,,,,,,,,,,,93,,
Edward Olivares,658668,2023,66,75,70,63,52,32,44,15,30,64,83,83,15
J.D. Martinez,502110,2023,91,77,96,97,49,89,98,98,98,7,19,9,35
Garrett Cooper,643265,2023,37,44,54,57,23,54,66,42,52,19,25,14,30
Jason Vosler,613564,2023,,,,,,,,,,,16,,
Franmil Reyes,614177,2023,,,,,,,,,,,30,,
Alek Thomas,677950,2023,13,42,20,14,11,15,18,40,53,48,87,55,4
Tyler Wade,642180,2023,,,,,,,,,,,89,,
Carlos Pérez,656024,2023,,,,,,,,,,,20,,
Andrew McCutchen,457705,2023,79,56,40,36,96,26,34,57,70,38,77,56,99
Sam Hilliard,656541,2023,,,,,,,,,,,90,,
Bubba Thompson,669352,2023,,,,,,,,,,,100,,
Terrin Vavra,679631,2023,,,,,,,,,,,59,,
Evan Carter,694497,2023,,,,,,,,,,,96,,
Donovan Solano,456781,2023,77,90,53,32,90,22,27,68,65,46,10,49,56
Brent Rooker,667670,2023,71,24,80,89,47,85,93,85,91,1,41,4,60
Juan Yepez,660766,2023,,,,,,,,,,,13,,
Garrett Mitchell,669003,2023,,,,,,,,,,,94,,
Colton Cowser,681297,2023,,,,,,,,,,,64,,
Samad Taylor,669392,2023,,,,,,,,,,,91,,
Luke Voit,572228,2023,,,,,,,,,,,6,,
Tomás Nido,621512,2023,,,,,,,,,,,5,,
Estevan Florial,664314,2023,,,,,,,,,,,94,,
Clint Frazier,640449,2023,,,,,,,,,,,59,,
Jonathan Araúz,660620,2023,,,,,,,,,,,20,,
Franchy Cordero,614173,2023,,,,,,,,,,,53,,
José Fermín,665877,2023,,,,,,,,,,,66,,
Taylor Motter,600301,2023,,,,,,,,,,,29,,
Korey Lee,686676,2023,,,,,,,,,,,66,,
Michael Busch,683737,2023,,,,,,,,,,,39,,
Brad Miller,543543,2023,,,,,,,,,,,16,,
Alex Call,669743,2023,15,7,5,14,43,17,20,13,8,86,87,77,86
Mark Mathias,664029,2023,,,,,,,,,,,60,,
Matt Beaty,607461,2023,,,,,,,,,,,11,,
Ernie Clement,676391,2023,,,,,,,,,,,76,,
Conner Capel,668843,2023,,,,,,,,,,,40,,
Hunter Goodman,696100,2023,,,,,,,,,,,55,,
Michael Conforto,624424,2023,55,32,43,49,72,37,44,40,43,50,21,44,82
Connor Joe,656582,2023,54,39,37,39,71,40,48,40,56,60,43,38,77
Kerry Carpenter,681481,2023,63,56,74,73,49,58,65,65,67,39,70,29,33
Ben Rortvedt,666163,2023,,,,,,,,,,,17,,
Dane Myers,667472,2023,,,,,,,,,,,89,,
David Hensley,682073,2023,,,,,,,,,,,46,,
Triston Casas,671213,2023,92,47,89,91,86,76,86,77,80,33,6,29,93
Brandon Dixon,641525,2023,,,,,,,,,,,78,,
Danny Mendick,664901,2023,,,,,,,,,,,11,,
Jordan Luplow,656669,2023,,,,,,,,,,,57,,
James Outman,681546,2023,51,16,31,46,67,63,72,22,44,2,88,6,86
Elvis Andrus,462101,2023,1,18,2,2,7,3,4,18,9,78,29,78,21
Ronald Acuña Jr.,660670,2023,100,100,100,99,100,100,93,100,98,84,65,97,80
Nick Loftin,679845,2023,,,,,,,,,,,47,,
Yan Gomes,543228,2023,44,62,40,32,36,37,43,16,22,56,22,67,7
Charlie Blackmon,453568,2023,67,75,39,25,83,15,17,8,11,81,54,95,61
Shea Langeliers,669127,2023,17,5,49,78,4,77,88,73,69,14,78,14,32
Michael Brantley,488726,2023,,,,,,,,,,,10,,
Wilyer Abreu,677800,2023,,,,,,,,,,,35,,
Everson Pereira,677592,2023,,,,,,,,,,,66,,
Mike Brosseau,670712,2023,,,,,,,,,,,56,,
Henry Ramos,592656,2023,,,,,,,,,,,39,,
Marcus Semien,543760,2023,60,62,51,44,67,68,30,32,26,90,85,91,64
Hunter Dozier,641531,2023,,,,,,,,,,,76,,
Andrew Velazquez,623205,2023,,,,,,,,,,,77,,
Michael Stefanic,683021,2023,,,,,,,,,,,17,,
Cedric Mullins,656775,2023,11,14,11,17,17,26,30,40,26,51,68,49,61
Brayan Rocchio,677587,2023,,,,,,,,,,,52,,
Cade Marlowe,687799,2023,,,,,,,,,,,88,,
Luken Baker,663609,2023,,,,,,,,,,,5,,
Ceddanne Rafaela,678882,2023,,,,,,,,,,,84,,
Vidal Bruján,660644,2023,,,,,,,,,,,36,,
Nick Martini,605361,2023,,,,,,,,,,,45,,
Jonathan Aranda,666018,2023,,,,,,,,,,,21,,
Austin Wells,669224,2023,,,,,,,,,,,34,,
Jake Marisnick,545350,2023,,,,,,,,,,,87,,
Michael Chavis,656308,2023,,,,,,,,,,,83,,
Cristian Pache,665506,2023,,,,,,,,,,,62,,
Matt Mervis,670223,2023,,,,,,,,,,,5,,
Steven Kwan,680757,2023,36,88,13,1,81,2,1,5,1,100,69,98,65
Romy Gonzalez,663853,2023,,,,,,,,,,,94,,
Jared Walsh,665120,2023,,,,,,,,,,,24,,
Brice Turang,668930,2023,4,12,2,7,11,4,5,2,4,71,96,58,52
Curt Casali,592200,2023,,,,,,,,,,,2,,
Carter Kieboom,666198,2023,,,,,,,,,,,28,,
Luis Rengifo,650859,2023,47,35,37,40,53,37,40,44,25,53,50,73,59
Jon Berti,542932,2023,49,87,42,19,61,15,14,2,10,79,95,74,30
Vaughn Grissom,687093,2023,,,,,,,,,,,44,,
Curtis Mead,678554,2023,,,,,,,,,,,33,,
Osleivis Basabe,678545,2023,,,,,,,,,,,81,,
Jordan Walker,691023,2023,58,72,49,40,64,37,39,52,59,23,81,46,42
Yonathan Daza,602074,2023,,,,,,,,,,,54,,
Brett Sullivan,664954,2023,,,,,,,,,,,50,,
Mike Zunino,572287,2023,,,,,,,,,,,19,,
Willson Contreras,575929,2023,93,86,85,78,90,73,79,81,81,27,35,46,74
Trent Grisham,663757,2023,45,8,31,57,59,70,77,69,45,31,59,20,92
Jonathan Davis,641505,2023,,,,,,,,,,,89,,
Joey Bart,663698,2023,,,,,,,,,,,28,,
Xavier Edwards,669364,2023,,,,,,,,,,,75,,
Yordan Alvarez,670541,2023,99,97,99,99,99,92,99,96,96,66,24,72,93
Alika Williams,675961,2023,,,,,,,,,,,73,,
Ryan Mountcastle,663624,2023,81,80,89,85,61,73,79,83,70,31,73,43,41
Tucker Barnhart,571466,2023,,,,,,,,,,,1,,
Avisaíl García,541645,2023,,,,,,,,,,,74,,
Jonah Bride,681146,2023,,,,,,,,,,,44,,
Jon Singleton,572138,2023,,,,,,,,,,,19,,
René Pinto,650907,2023,,,,,,,,,,,38,,
Eric Hosmer,543333,2023,,,,,,,,,,,7,,
Ronny Mauricio,677595,2023,,,,,,,,,,,60,,
Tommy Pham,502054,2023,85,90,79,67,85,66,69,93,89,60,61,51,67
Miguel Andujar,609280,2023,,,,,,,,,,,58,,
David Fry,681807,2023,,,,,,,,,,,42,,
Ji Man Choi,596847,2023,,,,,,,,,,,7,,
Tyler Nevin,663527,2023,,,,,,,,,,,13,,
Harold Ramírez,623912,2023,38,77,42,28,37,15,13,44,50,33,63,74,8
Hanser Alberto,593643,2023,,,,,,,,,,,9,,
José Azocar,640492,2023,,,,,,,,,,,97,,
David Peralta,444482,2023,28,82,34,17,29,17,17,50,68,65,39,81,4
Yu Chang,644374,2023,,,,,,,,,,,74,,
Dominic Fletcher,666150,2023,,,,,,,,,,,30,,
Davis Schneider,676914,2023,,,,,,,,,,,52,,
Josh Jung,673962,2023,65,59,82,82,27,73,77,87,82,23,36,14,16
Tony Kemp,643393,2023,16,30,2,2,59,1,1,11,1,97,20,100,76
Alejandro Kirk,672386,2023,42,53,25,20,71,19,19,19,33,99,2,98,70
Jesús Aguilar,542583,2023,,,,,,,,,,,1,,
Alfonso Rivas,663845,2023,,,,,,,,,,,38,,
Sam Haggerty,664059,2023,,,,,,,,,,,93,,
Lars Nootbaar,663457,2023,81,68,60,49,91,50,53,44,30,88,62,64,95
Tyler Stephenson,663886,2023,33,31,32,38,37,40,40,52,65,30,38,25,58
Trayce Thompson,572204,2023,,,,,,,,,,,51,,
Jose Herrera,645444,2023,,,,,,,,,,,10,,
Jackie Bradley Jr.,598265,2023,,,,,,,,,,,43,,
Michael Massey,686681,2023,38,59,55,51,22,42,43,36,41,66,49,54,9
J.D. Davis,605204,2023,47,32,42,46,51,61,60,77,72,9,14,19,61
Max Muncy,571970,2023,87,22,90,96,81,87,90,79,80,25,37,24,96
David Villar,681584,2023,,,,,,,,,,,17,,
Max Kepler,596146,2023,85,77,89,86,76,77,79,89,83,79,52,54,59
Wil Myers,571976,2023,,,,,,,,,,,64,,
David Fletcher,664058,2023,,,,,,,,,,,23,,
Geraldo Perdomo,672695,2023,5,2,1,1,37,1,1,3,1,96,48,79,91
Richie Palacios,680700,2023,,,,,,,,,,,68,,
Randal Grichuk,545341,2023,47,64,48,43,41,37,37,57,72,41,53,60,21
Josh Harrison,543281,2023,,,,,,,,,,,31,,
Garrett Stubbs,596117,2023,,,,,,,,,,,71,,
LaMonte Wade Jr.,664774,2023,86,68,70,66,94,58,56,32,43,74,19,73,96
Bryce Harper,547180,2023,97,93,93,88,98,89,92,87,81,11,54,52,96
Ryan McKenna,663630,2023,,,,,,,,,,,85,,
Jacob Young,696285,2023,,,,,,,,,,,98,,
Miguel Rojas,500743,2023,10,44,7,4,25,6,5,15,13,93,27,97,19
Parker Meadows,678009,2023,,,,,,,,,,,90,,
Noelvi Marte,682622,2023,,,,,,,,,,,91,,
Dylan Moore,664238,2023,,,,,,,,,,,58,,
Kevin Smith,675656,2023,,,,,,,,,,,50,,
Lawrence Butler,671732,2023,,,,,,,,,,,53,,
Josh Lowe,666139,2023,69,85,81,74,45,70,70,44,42,20,86,32,21
Wilmer Flores,527038,2023,60,53,62,60,59,45,43,8,13,94,4,93,57
Billy McKinney,641856,2023,,,,,,,,,,,43,,
Nolan Schanuel,694384,2023,,,,,,,,,,,36,,
Jose Barrero,676480,2023,,,,,,,,,,,58,,
Matt Chapman,656305,2023,65,16,71,84,48,95,98,98,100,18,80,16,78
Michael Toglia,669911,2023,,,,,,,,,,,67,,
Matthew Batten,676946,2023,,,,,,,,,,,81,,
Jake Burger,669394,2023,83,75,91,89,54,92,98,89,91,7,67,21,17
Miguel Amaya,665804,2023,,,,,,,,,,,19,,
Victor Robles,645302,2023,,,,,,,,,,,68,,
Dairon Blanco,680118,2023,,,,,,,,,,,100,,
Adam Frazier,624428,2023,18,61,14,8,41,7,6,3,2,84,31,89,33
Austin Wynns,642851,2023,,,,,,,,,,,5,,
Jonathan India,663697,2023,67,44,47,51,79,45,42,55,35,68,62,60,67
Carson Kelly,608348,2023,,,,,,,,,,,13,,
Cam Gallagher,595956,2023,,,,,,,,,,,10,,
Nelson Cruz,443558,2023,,,,,,,,,,,5,,
Brandon Drury,592273,2023,37,44,64,66,16,73,70,60,77,20,39,25,5
Blake Perkins,663368,2023,,,,,,,,,,,99,,
Kody Clemens,665019,2023,,,,,,,,,,,55,,
Esteury Ruiz,665923,2023,3,21,2,2,9,4,4,1,1,47,97,62,2
Riley Adams,656180,2023,,,,,,,,,,,23,,
J.T. Realmuto,592663,2023,61,48,75,75,34,76,74,59,64,43,84,28,24
Zach McKinstry,656716,2023,30,36,31,32,37,45,40,14,16,75,80,52,52
Cal Raleigh,663728,2023,55,20,77,86,25,84,83,55,51,23,40,19,61
Jonathan Schoop,570731,2023,,,,,,,,,,,38,,
Rougned Odor,596059,2023,,,,,,,,,,,37,,
Masyn Winn,691026,2023,,,,,,,,,,,92,,
Shohei Ohtani,660271,2023,99,95,99,100,98,99,100,99,97,12,63,35,98
Enmanuel Valdez,665839,2023,,,,,,,,,,,28,,
Chad Wallach,595453,2023,,,,,,,,,,,3,,
Austin Nola,543592,2023,,,,,,,,,,,25,,
Luis Urías,649966,2023,,,,,,,,,,,19,,
Zach Remillard,621545,2023,,,,,,,,,,,78,,
