Year,Barrel,HardHit,SweetSpot,K,BB,Swing,Whiff,InZone,OutofZone,OutofZoneSwing,FirstPitchSwing,FirstPitchStrike
2018,16,51.1,35.6,27.9,10.1,46,30.6,47.9,52.1,28,32.2,58.5
2019,12.2,47.1,31.7,25.9,7.8,49.3,27.4,45.9,54.1,30.4,37.5,58.5
2020,10.7,42.7,32,28.6,12.6,44.8,32.3,50.7,49.3,23.9,28.6,52.6
2021,22.3,53.6,35.4,29.6,15,45.8,35,43.5,56.5,27.3,37.3,57.9
2022,16.8,49.8,35,24.2,10.8,49.3,28.1,47.8,52.2,28.4,41.6,60.4
2023,19.6,54.2,35.6,23.9,15.2,48.2,32.3,45.4,54.6,29.7,39,57.9
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,